Compartment Number,Thickness (m),Layer Number
1,0.1,1
2,0.15,1
3,0.15,1
4,0.15,1
5,0.15,1
6,0.2,1
7,0.2,1
8,0.2,1
9,0.25,1
10,0.25,1
11,0.25,1
12,0.25,1
